#Iterations	Temperature	Chi2	Type	Histogram	Connect	Total
361	816.571	8035.12	0	4432.56	45586	58053.7
362	816.571	8025.08	0	4436.46	45586	58047.6
363	816.571	7998.57	0	4398.39	45306.9	57703.9
364	816.571	7981.81	0	4399.62	45306.9	57688.4
365	816.571	7913.82	0	4399.19	45030.4	57343.4
366	816.571	7882.98	0	4394.71	45030.4	57308.1
367	816.571	7891.25	0	4411.86	45030.4	57333.5
368	816.571	7843.92	0	4406.23	42905.7	55155.8
369	816.571	7843.29	0	4415.32	42905.7	55164.3
370	816.571	7717.83	0	4435.4	43163.2	55316.4
371	816.571	7685.55	0	4411.1	43163.2	55259.8
372	816.571	7695.14	0	4389.21	43163.2	55247.5
373	816.571	7725.16	0	4365.91	42905.7	54996.7
374	816.571	7752.76	0	4357.63	42905.7	55016
375	816.571	7756.73	0	4351.08	42905.7	55013.5
376	816.571	7905.04	0	4381.17	43163.2	55449.4
377	816.571	7938.33	0	4391.03	43163.2	55492.5
378	816.571	7958.04	0	4383.93	43163.2	55505.1
379	816.571	7999.27	0	4391.4	43163.2	55553.8
380	816.571	7994.67	0	4370	43163.2	55527.8
381	816.571	7941.35	0	4337.08	42905.7	55184.1
382	816.571	7887.83	0	4309.51	42905.7	55103
383	816.571	7880.27	0	4324.08	42650.3	54854.7
384	816.571	7942.89	0	4340.85	42905.7	55189.4
385	816.571	7946	0	4343.54	42905.7	55195.2
386	816.571	7960.37	0	4362.69	42905.7	55228.7
387	816.571	7977.38	0	4367.14	42905.7	55250.2
388	816.571	7977.83	0	4387.51	43163.2	55528.5
389	816.571	8004.58	0	4382.54	43163.2	55550.3
390	816.571	7987.72	0	4363.08	43163.2	55514
391	816.571	8066.95	0	4366.54	43163.2	55596.7
392	816.571	8053.62	0	4374.59	43163.2	55591.4
393	816.571	8040.88	0	4380.46	43163.2	55584.5
394	816.571	8207.11	0	4362.19	43163.2	55732.5
395	816.571	8213.45	0	4365.25	43163.2	55741.9
396	816.571	8234.21	0	4372.86	43163.2	55770.2
397	816.571	8221.93	0	4356.73	43163.2	55741.8
398	816.571	8225.93	0	4319.28	42905.7	55450.9
399	816.571	8303.84	0	4322.88	43163.2	55789.9
400	816.571	8241.32	0	4310.91	43163.2	55715.4
401	816.571	8291.46	0	4336.87	43422.9	56051.2
402	816.571	8227.41	0	4308.6	43163.2	55699.2
403	816.571	8210.56	0	4317.17	43163.2	55690.9
404	816.571	8198.51	0	4312.33	43163.2	55674
405	816.571	8291.96	0	4343.03	43422.9	56057.9
406	816.571	8297.31	0	4349.89	43422.9	56070.1
407	816.571	8308.09	0	4356.65	43684.9	56349.7
408	816.571	8318.59	0	4351.54	43949.2	56619.4
409	816.571	8436.38	0	4343.9	43684.9	56465.2
410	816.571	8482.07	0	4345.32	43684.9	56512.3
411	816.571	8469.53	0	4327.25	43684.9	56481.7
412	816.571	8431.15	0	4285.49	43684.9	56401.6
413	816.571	8444.34	0	4293.23	43684.9	56422.5
414	816.571	8411.66	0	4296.6	43684.9	56393.2
415	816.571	8436.75	0	4283.15	43684.9	56404.8
416	816.571	8446.32	0	4293.1	43684.9	56424.3
417	816.571	8416.83	0	4273.24	43684.9	56375
418	816.571	8395.41	0	4272.53	43684.9	56352.9
419	816.571	8401.13	0	4275.44	43684.9	56361.5
420	816.571	8361.74	0	4283.69	43684.9	56330.4
421	816.571	8360.66	0	4276.27	43684.9	56321.8
422	816.571	8332.8	0	4285.89	43684.9	56303.6
423	816.571	8329.84	0	4284.31	43949.2	56563.4
424	816.571	8215.59	0	4285.97	43949.2	56450.8
425	816.571	8164.76	0	4268.4	43949.2	56382.4
426	816.571	8163.74	0	4270.96	43949.2	56383.9
427	816.571	8131.09	0	4259.87	43949.2	56340.2
428	816.571	8094.01	0	4231.29	42905.7	55231
429	816.571	8121.15	0	4232.99	42905.7	55259.8
430	816.571	8140.97	0	4249.03	42905.7	55295.7
431	816.571	8110.74	0	4262.2	42905.7	55278.6
432	816.571	8129.93	0	4265.35	42905.7	55300.9
433	816.571	8306.39	0	4275.13	42650.3	55231.9
434	816.571	8307.29	0	4253.47	42650.3	55211.1
435	816.571	8198.86	0	4244.73	42650.3	55093.9
436	816.571	8299.52	0	4239.79	42650.3	55189.6
437	816.571	8301.87	0	4232.15	42650.3	55184.4
438	816.571	8317.66	0	4213.23	42650.3	55181.2
439	816.571	8308.26	0	4178.05	42397.2	54883.5
440	816.571	8197.62	0	4142.01	42397.2	54736.8
441	816.571	8188.46	0	4125.92	42146.1	54460.5
442	816.571	8173.37	0	4133.59	42146.1	54453.1
443	816.571	8183.46	0	4136.87	42146.1	54466.5
444	816.571	8238.53	0	4173.36	42146.1	54558
445	816.571	8267.24	0	4187.96	42146.1	54601.3
446	816.571	8230.2	0	4162.18	42146.1	54538.5
447	816.571	8145.12	0	4139.79	42146.1	54431
448	816.571	8194.85	0	4203.09	42397.2	54795.1
449	816.571	8195.95	0	4201.68	40682.4	53080
450	816.571	8251.68	0	4240.37	44215.9	56708
451	816.571	8258.31	0	4223.47	44215.9	56697.7
452	816.571	8299.05	0	4238.28	44215.9	56753.2
453	816.571	8318.9	0	4252.66	44215.9	56787.5
454	816.571	8301.74	0	4240.85	44215.9	56758.5
455	816.571	8250.95	0	4254.05	43949.2	56454.2
456	816.571	8376.18	0	4292.89	43949.2	56618.3
457	816.571	8383.57	0	4278.99	44215.9	56878.5
458	816.571	8355.88	0	4296.54	44485	57137.4
459	816.571	8363.03	0	4282.73	44215.9	56861.7
460	816.571	8372.97	0	4294.76	43422.9	56090.6
461	816.571	8359.69	0	4279.56	43422.9	56062.2
462	816.571	8335.88	0	4291.1	43684.9	56311.9
463	816.571	8331.03	0	4280.92	43422.9	56034.9
464	816.571	8291.74	0	4279.69	43422.9	55994.3
465	816.571	8298.71	0	4279.79	43684.9	56263.4
466	816.571	8234.62	0	4245.3	43422.9	55902.8
467	816.571	8249.41	0	4254.15	43422.9	55926.5
468	816.571	8313.2	0	4268.29	43422.9	56004.4
469	816.571	8378.59	0	4282	43422.9	56083.5
470	816.571	8435.7	0	4293.18	43422.9	56151.8
471	816.571	8447.6	0	4325.91	43684.9	56458.4
472	816.571	8434.75	0	4293.09	43684.9	56412.8
473	816.571	8564.45	0	4289.91	43684.9	56539.3
474	816.571	8566.82	0	4279.69	43422.9	56269.4
475	816.571	8545.35	0	4277.43	43422.9	56245.7
476	816.571	8483.1	0	4259.99	43422.9	56166
477	816.571	8472.5	0	4227.37	43163.2	55863
478	816.571	8400.53	0	4191.9	43163.2	55755.6
479	816.571	8386.05	0	4189.06	43163.2	55738.3
480	816.571	8372.53	0	4189.12	43163.2	55724.8
481	816.571	8368.77	0	4192.51	43163.2	55724.4
482	816.571	8362.99	0	4187.9	43163.2	55714.1
483	816.571	8368.23	0	4179.61	41897.2	54445
484	816.571	8333.67	0	4184.67	41897.2	54415.5
485	816.571	8379.72	0	4192.05	41897.2	54468.9
486	816.571	8387.44	0	4176.81	41897.2	54461.4
487	816.571	8435.02	0	4194.83	41897.2	54527
488	816.571	8443	0	4211	41897.2	54551.2
489	816.571	8457.24	0	4253.89	42146.1	54857.3
490	816.571	8465.76	0	4237.74	41405.3	54108.8
491	734.914	8453.18	0	4213.59	41405.3	54072.1
492	734.914	8461.72	0	4212.08	41405.3	54079.1
493	734.914	8598.72	0	4229.79	41405.3	54233.8
494	734.914	8558.83	0	4193.61	41405.3	54157.8
495	734.914	8572.13	0	4193.23	41405.3	54170.7
496	734.914	8582.88	0	4190.26	41405.3	54178.5
497	734.914	8574.59	0	4178.23	41162.4	53915.3
498	734.914	8560.28	0	4194.96	41162.4	53917.7
499	734.914	8670.9	0	4231.95	41162.4	54065.3
500	734.914	8667.58	0	4218.64	41162.4	54048.6
501	734.914	8687.73	0	4229.05	41162.4	54079.2
502	734.914	8718.01	0	4228.55	41162.4	54109
503	734.914	8735.31	0	4240.72	41162.4	54138.5
504	734.914	8706.11	0	4245.98	41162.4	54114.5
505	734.914	8686.4	0	4235.15	41162.4	54084
506	734.914	8663.93	0	4219.79	41162.4	54046.1
507	734.914	8587.59	0	4241.97	41162.4	53992
508	734.914	8583.09	0	4193.97	40921.5	53698.5
509	734.914	8575.84	0	4163.86	40682.4	53422.1
510	734.914	8559.68	0	4125.16	40445.3	53130.1
511	734.914	8562.95	0	4142.57	40682.4	53387.9
512	734.914	8577.11	0	4156.41	40682.4	53415.9
