#Iterations	Temperature	Chi2	Type	Histogram	Connect	Total
277	804.897	6385.32	0	4615.11	60081.2	71081.7
278	804.897	6401.34	0	4618.64	60081.2	71101.2
279	804.897	6396.42	0	4644.18	60539.3	71579.9
280	804.897	6398.59	0	4657.56	60539.3	71595.4
281	804.897	6436.4	0	4633.33	60539.3	71609
282	804.897	6418.3	0	4647.63	60539.3	71605.2
283	804.897	6400.8	0	4673.72	61004.4	72078.9
284	804.897	6397.84	0	4656.74	61004.4	72059
285	804.897	6406.95	0	4661.9	61004.4	72073.2
286	804.897	6395.38	0	4670.53	61004.4	72070.3
287	804.897	6386.57	0	4689.3	61476.8	72552.7
288	804.897	6353.98	0	4661.66	61476.8	72492.5
289	804.897	6392.17	0	4687.46	61476.8	72556.5
290	804.897	6367.48	0	4643.97	61476.8	72488.3
291	804.897	6351.16	0	4653.86	61476.8	72481.8
292	804.897	6360.4	0	4704.55	61476.8	72541.8
293	804.897	6342.58	0	4713.18	61476.8	72532.6
294	804.897	6312.56	0	4706.01	61476.8	72495.4
295	804.897	6367.53	0	4732.49	61476.8	72576.9
296	804.897	6351.35	0	4728.98	60539.3	71619.6
297	804.897	6325.01	0	4711.59	60539.3	71575.9
298	804.897	6340.1	0	4719.95	60539.3	71599.3
299	804.897	6301.68	0	4711.05	60539.3	71552
300	804.897	6311.83	0	4706.33	60539.3	71557.4
301	804.897	6331.3	0	4708.11	60539.3	71578.7
302	804.897	6375.55	0	4698.14	60081.2	71154.9
303	804.897	6291.53	0	4702.19	59630.1	70623.8
304	804.897	6249.4	0	4711.77	59630.1	70591.3
305	804.897	6299.86	0	4705.02	60081.2	71086.1
306	804.897	6296.61	0	4667.58	60081.2	71045.4
307	804.897	6307.32	0	4675.46	60081.2	71064
308	804.897	6272.54	0	4644.87	59630.1	70547.5
309	804.897	6260.4	0	4648.37	59630.1	70538.9
310	804.897	6267.72	0	4667.78	59630.1	70565.6
311	804.897	6349.87	0	4676.27	59630.1	70656.2
312	804.897	6351.84	0	4714.59	60081.2	71147.7
313	804.897	6403.39	0	4710.14	60081.2	71194.8
314	804.897	6397.42	0	4692.37	60081.2	71171
315	804.897	6381.44	0	4685.38	60081.2	71148.1
316	804.897	6370.86	0	4692.4	60539.3	71602.5
317	804.897	6426.9	0	4710.79	60539.3	71676.9
318	804.897	6418.09	0	4704.16	60081.2	71203.5
319	804.897	6392.52	0	4691.83	60081.2	71165.6
320	804.897	6391.65	0	4682.23	60081.2	71155.1
321	804.897	6394.9	0	4677.2	60081.2	71153.3
322	804.897	6390.54	0	4657.52	60081.2	71129.3
323	804.897	6512.4	0	4685.8	60081.2	71279.4
324	804.897	6492.61	0	4667.39	60081.2	71241.2
325	804.897	6488.22	0	4658.39	60081.2	71227.8
326	804.897	6483.72	0	4629.58	60081.2	71194.5
327	804.897	6489.34	0	4636.52	60081.2	71207.1
328	804.897	6542.46	0	4636.48	60081.2	71260.2
329	804.897	6530.69	0	4621.66	60081.2	71233.6
330	804.897	6524.93	0	4594.56	60081.2	71200.7
331	804.897	6529.15	0	4583.38	60081.2	71193.8
332	804.897	6556.91	0	4599.33	60081.2	71237.5
333	804.897	6505.2	0	4587.36	60081.2	71173.8
334	804.897	6543.84	0	4584.33	60081.2	71209.4
335	804.897	6473.33	0	4558.29	59630.1	70661.7
336	804.897	6472.99	0	4551.35	59630.1	70654.4
337	804.897	6472.22	0	4540.58	59630.1	70642.9
338	804.897	6458.64	0	4559.14	59630.1	70647.9
339	804.897	6465.23	0	4581.51	59630.1	70676.8
340	804.897	6439.87	0	4583.39	59630.1	70653.4
341	804.897	6400.1	0	4560.7	57470.9	68431.7
342	804.897	6400.56	0	4564.43	57470.9	68435.9
343	804.897	6358.25	0	4567.36	57470.9	68396.5
344	804.897	6345.51	0	4542.98	57470.9	68359.4
345	804.897	6289.87	0	4519.71	57470.9	68280.5
346	804.897	6320.21	0	4519.29	57470.9	68310.4
347	804.897	6340.83	0	4568.09	57470.9	68379.8
348	804.897	6276.56	0	4590.23	57470.9	68337.7
349	804.897	6258.22	0	4594.06	57470.9	68323.2
350	804.897	6329.1	0	4610.45	57470.9	68410.4
351	804.897	6324.87	0	4602.46	57470.9	68398.2
352	804.897	6241.27	0	4560.15	57470.9	68272.3
353	804.897	6259.81	0	4537.99	57470.9	68268.7
354	804.897	6300.61	0	4571.45	57470.9	68342.9
355	804.897	6347.9	0	4575.4	57470.9	68394.2
356	804.897	6328.37	0	4553.56	54310.1	65192
357	804.897	6347.49	0	4547.72	54310.1	65205.3
358	804.897	6317.42	0	4509.95	54310.1	65137.4
359	804.897	6239.79	0	4498.18	54310.1	65048
360	804.897	6227.76	0	4501.99	54310.1	65039.8
361	804.897	6239.84	0	4527.39	54310.1	65077.3
362	804.897	6242.64	0	4499.37	54310.1	65052.1
363	804.897	6233.51	0	4477.29	54310.1	65020.9
364	804.897	6179.64	0	4452.31	54310.1	64942
365	804.897	6189.33	0	4460.36	54310.1	64959.8
366	804.897	6207.27	0	4463.58	54310.1	64980.9
367	804.897	6193.96	0	4453.79	53937.4	64585.1
368	804.897	6165.32	0	4431.91	52140.5	62737.7
369	804.897	6171.83	0	4429.05	52140.5	62741.3
370	804.897	6179.86	0	4433.53	51793.6	62407
371	804.897	6198.33	0	4452.49	51793.6	62444.5
372	804.897	6206.03	0	4449.54	51793.6	62449.2
